region,school,school_quality_indicator_sub_area,additional_school_quality_indicator_sub_area,organization,service_provided,service_type,date_collected,point_of_contact ,,,,
Transformation,Leadership Prep,Health & Wellness,,Children's Hospital,Mental Health Services,Mental Health Services,11/01/2011,,,,,
Transformation,Leadership Prep,School Culture,,Restorative Justice for Oakland Youth (RJOY),Restorative Justice Program,Restorative Justice,11/01/2011,,,,,
2,Learning Without Limits Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/01/2011,,,,,
2,Learning Without Limits Elementary,Extended Learning Time,,Electric Company,Summer Curriculum,Summer Prep Program,11/01/2011,,,,,
2,Learning Without Limits Elementary,Extended Learning Time,,Oakland Schools Foundation ,Extended Learning Collaborative Program,After School Intervention,11/01/2011,,,,,
2,Learning Without Limits Elementary,Extended Learning Time,,OUSD,Summer Prep Program (share with Global Family School),Summer Prep Program,11/01/2011,,,,,
2,Learning Without Limits Elementary,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Reading Partners,After School academic support,After School Academic Support,11/01/2011,,,,,
2,Learning Without Limits Elementary,Family & Community Engagement,,OUSD,"Migrant Education Parent Workshops (academic, health, other depending on need)",Parent Workshops,11/11/2011,,,,,
2,Learning Without Limits Elementary,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/11/2011,,,,,
2,Learning Without Limits Elementary,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/11/2011,,,,,
2,Learning Without Limits Elementary,Health & Wellness,,OUSD,Mental Health Interns,Mental Health Services,11/11/2011,,,,,
2,Learning Without Limits Elementary,Health & Wellness,,OUSD,Nurse 0.4 FTE,Health Services,11/11/2011,,,,,
2,Learning Without Limits Elementary,Health & Wellness,,OUSD,Wellness Champion,Coordinated School Health/Nutrition,11/11/2011,,,,,
2,Learning Without Limits Elementary,School Culture,,OUSD,Second Step Program Violence Prevention (school day and after school),Violence Prevention,11/01/2011,,,,,
2,Learning Without Limits Elementary,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/01/2011,,,,,
High School,Life Academy,Balanced Literacy & Literacy Across the Curriculum,,Extended Contracts for Teachers,"Tutoring, Homework Help, Skill Development",Academic Support,02/01/2013,Đào Như Toại 9th Grade and Annie Hatch 10th Grade,,,,
High School,Life Academy,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
High School,Life Academy,"College, Career & Workforce",,Alameda County Hospital,Internships for students,Internships,11/11/2011,Emily Rigotti and Claire Crossett,,,,
High School,Life Academy,"College, Career & Workforce",,Alta Bates ,Internships for students,Internships,11/11/2011,Emily Rigotti and Claire Crossett,,,,
High School,Life Academy,"College, Career & Workforce",,Brothers on the RISE,Internships for students,Internships,11/01/2011,Emily Rigotti and Claire Crossett,,,,
High School,Life Academy,"College, Career & Workforce",,College and Career Information Center (CCIC),College and Career Information Center,College & Career Readiness,11/11/2011,Emily Rigotti and Claire Crossett,,,,
High School,Life Academy,"College, Career & Workforce",,Home Sweet Home,Internships for students,Internships,11/01/2011,Emily Rigotti and Claire Crossett,,,,
High School,Life Academy,"College, Career & Workforce",,Kaiser Permanente,Internships for students,Internships,11/01/2011,Emily Rigotti and Claire Crossett,,,,
High School,Life Academy,"College, Career & Workforce",,La Clinica de la Raza,Internships for students,Internships,11/01/2011,Emily Rigotti and Claire Crossett,,,,
High School,Life Academy,"College, Career & Workforce",,Mill College Educational Targeting Center,College recruitment,College Recruitment,11/11/2011,Emily Rigotti and Claire Crossett,,,,
High School,Life Academy,"College, Career & Workforce",,Mills Educational Talent Search Program (METS),Academic and College Advising,College Advising,11/11/2011,Emily Rigotti and Claire Crossett,,,,
High School,Life Academy,"College, Career & Workforce",,Oakland Children's Hospital,Internships for students,Internships,11/01/2011,Emily Rigotti and Claire Crossett,,,,
High School,Life Academy,"College, Career & Workforce",,Summer Search,"Summer Program, College Advising, Mentoring",Summer Program and Mentoring,11/11/2011,Emily Rigotti and Claire Crossett,,,,
High School,Life Academy,"College, Career & Workforce",,Youth Speaks,Internships for students,Internships,11/01/2011,Emily Rigotti and Claire Crossett,,,,
High School,Life Academy,Extended Learning Time,,Alternatives in Action,After School Lead Program OUSD,After School Program,11/01/2011,Emily Rigotti and Claire Crossett,,,,
High School,Life Academy,Extended Learning Time,,Oakland Schools Foundation ,Extended Learning Collaborative Program,After School Intervention,11/11/2011,,,,,
High School,Life Academy,Extended Learning Time,,OUSD,"Summer Algebra Program, Summer Prep Program, Hosting Upward Bound",Summer Prep Program,11/11/2011,,,,,
High School,Life Academy,Extended Learning Time,,Outward Bound and METC program, Summer Prep Program,Summer Prep Program,11/11/2011,,,,,
High School,Life Academy,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Reading Partners,Internships for students/leadership read with younger students,Academic Support,11/11/2011,,,,,
High School,Life Academy,Extended Learning Time,,Cesar Chavez Public Library,6th grade weekly trips to the library,Academic Literacy Support,02/01/2013,Adina Aguirre,,,,
High School,Life Academy,Extended Learning Time,,Stanford University ,Student teachers ,Academic Support,11/11/2011,,,,,
High School,Life Academy,Family & Community Engagement,,Oakland Community Organizations (OCO),"Organizes parents and community members, parent advocate program",Family Advocate,11/11/2011,Emma Paulino,,,,
High School,Life Academy,Health & Wellness,,Native American Health Center,Calvin Simmons School Based Health Center (SBHC),School Based Health Center/Health Services,11/11/2011,Tamar Kurleander,,,,
High School,Life Academy,Health & Wellness,,OUSD,Nurse 0.6 FTE (Shared with United For Success),Health Services,11/11/2011,,,,,
High School,Life Academy,Health & Wellness,,Pueblo ,Gardening ,Garden,11/11/2011,,,,,
High School,Life Academy,Health & Wellness,Extended Learning Time,Alternatives in Action,Gardening after school,Garden,02/01/2013,Sam Garcia,,,,
High School,Life Academy,Health & Wellness,,The Wright Institute,Mental Health Services,Mental Health Services,11/11/2011,MaryJane Weathersby,,,,
High School,Life Academy,"Science, Technology, Engineering & Mathematics (STEM)",,STEM ,Science education/mentoring to junior high and elementary ,Science & Math Education,11/11/2011,,,,,
High School,Life Academy,"Science, Technology, Engineering & Mathematics (STEM)",,Alternatives in Action,Internship placements in STEM related fields,,02/01/2013,Sam Garcia,,,,
High School,Life Academy,Strategic Operational Practices,,Oakland Fund for Children & Youth,Funding,Funding,11/11/2011,,,,,
High School,Life Academy,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
High School,Life Academy,Accelerating Students through Targeted Approaches,,OUSD,Achieve 3000 online reading program,Academic Support,02/13/2013,Preston Thomas and Gloria Pearce ,,,,
High School,Life Academy,Transitions & Pathways PreK-12,,Alternatives in Action,Bridge for incoming 9th graders and arts programs,Transition Programs,02/01/2013,Ali Medina,,,,
High School,Life Academy,School Culture,,Alternatives in Action,Staff will develop a student conflict mediation program to help youth resolve minor conflicts.,,,Adelina Tancioco and Cara Johnson,,,,
High School,Life Academy ,Extended Learning Time,,Alternatives in Action,Saturday School ,Saturday School,11/01/2011,,,,,
High School,Life Academy ,Family & Community Engagement,,Alternatives in Action,Parent Academy,Parent Workshops,11/01/2011,Pablo Venturino,,,,
1,Lincoln Elementary,Balanced Literacy & Literacy Across the Curriculum,Extended Learning Time,Oakland Library & OASES,After School Story Telling - Literacy Activities,After School Literacy,11/11/2011,,,,,
1,Lincoln Elementary,Extended Learning Time,,Bay Area Community Resources (BACR) & AmeriCorps,After School AmeriCorps Members,After School Academic Support,11/01/2011,,,,,
1,Lincoln Elementary,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/01/2011,,,,,
1,Lincoln Elementary,Extended Learning Time,,Girls Scouts & OASES,After School Enrichment Workshop on Leadership (in 2010-2011),After School Enrichment,11/11/2011,,,,,
1,Lincoln Elementary,Extended Learning Time,,Oakland Asian Students Educational Services (OASES),After School Lead Program OUSD,After School Program,11/01/2011,,,,,
1,Lincoln Elementary,Extended Learning Time,"Science, Technology, Engineering & Mathematics (STEM)",The Watershed Project & OASES,After School Enrichment Workshop on Environment,After School Enrichment,11/01/2011,,,,,
1,Lincoln Elementary,Family & Community Engagement,,Action Alliance For Children & OASES,"After School Make available articles relating to policy, parenting skills, etc. to parents",Parent Workshops,11/11/2011,,,,,
1,Lincoln Elementary,Health & Wellness,,Asian Community Mental Health Services & OASES,After School Mental Health Services – through group “enrichment” workshop and parent workshops on stress management,Mental Health Services,11/11/2011,,,,,
1,Lincoln Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/11/2011,,,,,
1,Lincoln Elementary,Strategic Operational Practices,Extended Learning Time,City National Bank & OASES,After School Donated Books and Supplies for Literacy Events,After School Funding/Donations,11/11/2011,,,,,
1,Lincoln Elementary,Transitions & Pathways PreK-12,Extended Learning Time,UC Berkeley Laney College & OASES,After School tutors and mentors,Academic Support/Mentoring,11/01/2011,,,,,
3,Madison Middle School,Accelerating Students through Targeted Approaches,,African American Male Achievement ,Six week mentoring program for 6th-8th graders,Mentoring,06/13/2013,Kyle McClerkin,,,,
3,Madison Middle School,Accelerating Students through Targeted Approaches,,MPA Teachers,Provide support for 15 focal students,Academic support,06/13/2013,Madison teachers,,,,
3,Madison Middle School,Accelerating Students through Targeted Approaches,,SDC Teacher,Provides support for students with disabilities,Special Education,06/13/2013,Joann Jacob,,,,
3,Madison Middle School,Accelerating Students through Targeted Approaches,,Newcomers class,Newcomers class,English Language Learner Support,06/13/2013,Juan Rodriguez,,,,
3,Madison Middle School,Balanced Literacy & Literacy Across the Curriculum,Extended Learning Time,Bay Area Community Resources,6th period homework club,After School Academic Support,06/13/2013,Meisha Marshall,,,,
3,Madison Middle School,Balanced Literacy & Literacy Across the Curriculum,Extended Learning Time,Extreme Learning,Tutorial services for students,Supplemental Education Services,06/13/2013,,,,,
3,Madison Middle School,Balanced Literacy & Literacy Across the Curriculum,Extended Learning Time,Tutor Works,Tutorial services for students,Supplemental Education Services,06/13/2013,,,,,
3,Madison Middle School,"College, Career & Workforce",Extended Learning Time,Bay Area Community Resources (BACR),"graffiti club, beauty shop",After School Career Readiness,11/11/2011,,,,,
3,Madison Middle School,"College, Career & Workforce",Extended Learning Time,Bay Area Community Resources (BACR),"Yearbook, typing ",Enrichment,11/11/2011,Meisha Marshall,,,,
3,Madison Middle School,"College, Career & Workforce",,MPA Business and Arts Academy,Provides college advice for students and families,College & Career Readiness,06/13/2013,Dr. Bianca Dallesandro,,,,
3,Madison Middle School,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/11/2011,Meisha Marshall,,,,
3,Madison Middle School,Extended Learning Time,,Elev8 Initiative,"After school photography class, drumming, dance and Rick Kids Media",After School Enrichment,06/13/2013,Clo Escudero,,,,
3,Madison Middle School,Extended Learning Time,,Elev8 Initiative,Summer transition program for incoming 6th graders,Summer Prep Program,06/13/2013,Clo Escudero,,,,
3,Madison Middle School,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Opera Piccola,"After School visual arts, performing arts, drama/theater, drumming, spoken word/poetry, dance, photography",After School Arts Enrichment,11/11/2011,,,,,
3,Madison Middle School,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Rich Kid Media,"DVD yearbook, girls rap group ",Arts Enrichment,11/11/2011,,,,,
3,Madison Middle School,Extended Learning Time,Accelerating Students through Targeted Approaches,Tutor Works,Supplemental Educational Services (SES) Academic Support,SES Tutoring,11/01/2011,,,,,
3,Madison Middle School,Family & Community Engagement,,City of Oakland and Americorps,Elev8 - MLK service day and Cesar Chavez farmers market,Service Day/Farmers Market,11/01/2011,Bill Ritchie and Demetrie Broxton,,,,
3,Madison Middle School,Family & Community Engagement,,Elev8 Initiative,Baby Community Learning Center - Newborn to age 5 parenting classes and support (also at Havenscourt),Parent Classes,11/01/2011,Laura Cabral,,,,
3,Madison Middle School,Family & Community Engagement,,Elev8 Initiative,Family Advocate,Parent Classes,11/11/2011,Victoria King,,,,
3,Madison Middle School,Family & Community Engagement,,OUSD,"Family Advocate does once-per-month training and workshops: tax clinic, college readiness door-to-door campaign, CPR",Family Advocate/Parent Workshops,11/01/2011,,,,,
3,Madison Middle School,Family & Community Engagement,,Resident Action Council ,Neighborhood group uses the space for meetings and also bring information from community to school,Neighborhood partnership,11/01/2011,Victoria Figg,,,,
3,Madison Middle School,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/11/2011,Robyn Kumar,,,,
3,Madison Middle School,Health & Wellness,,Alameda County Public Health Department,"School Based Health Center (SBHC) Madison Health Center: Peer Leadership, Health, Nutrition education",School Based Health Center/Health Services,11/11/2011,Lori Williams,,,,
3,Madison Middle School,Health & Wellness,Accelerating Students through Targeted Approaches,Alameda County Public Health Department,Urban Male Health Program (mentoring and college access),Health Education/Mentoring,11/11/2011,,,,,
3,Madison Middle School,Health & Wellness,,Bay Area Community Resources (BACR),"Gardening, cooking club ",Garden,11/11/2011,Meisha Marshall,,,,
3,Madison Middle School,Health & Wellness,,Bay Area Community Resources (BACR),"SBHC, soccer, flag football, basketball, softball",Physical & Recreational Activity,11/01/2011,,,,,
3,Madison Middle School,Health & Wellness,,Our Kids Mental Health Services,clinical case manager,Mental Health Services,06/13/2013,Alison McKenzie,,,,
3,Madison Middle School,Health & Wellness,,Community Reform Church,Health Fair,Health Education,11/11/2011,,,,,
3,Madison Middle School,Health & Wellness,,First T of Oakland golfers,Golf program,Physical & Recreational Activity,11/01/2011,Meisha Marshall,,,,
3,Madison Middle School,Health & Wellness,,Fred Finch Youth Services ,2.5 mental health counselors on campus ,Mental Health Services,11/11/2011,,,,,
3,Madison Middle School,Health & Wellness,,OUSD,2 Wellness Champions,Coordinated School Health/Nutrition,11/11/2011,Melissa Cessario,,,,
3,Madison Middle School,Health & Wellness,,OUSD,Nurse 0.7 FTE,Health Services,06/13/2013,Wanetta Daniel,,,,
3,Madison Middle School,Health & Wellness,,OUSD,TUPE Program,Drug and alcohol prevention,06/13/2013,Kyle McClerkin,,,,
3,Madison Middle School,School Culture,,Alameda County Public Health Department,Teen Dating Violence Prevention,Violence Prevention,11/11/2011,Caroline Miller,,,,
3,Madison Middle School,School Culture,,OUSD,Conflict Resolution Program,Violence Prevention,11/01/2011,Kyle McClerkin,,,,
3,Madison Middle School,School Culture,,OUSD,Outreach Consultant,Outreach Consultant,11/11/2011,Bruce Ridgeway,,,,
3,Madison Middle School,School Culture,,OUSD,Comprehensive Safety Plan,,06/13/2013,Dr. Lucinda Taylor,,,,
3,Madison Middle School,"Science, Technology, Engineering & Mathematics (STEM)","College, Career & Workforce",Chabot Space and Science Center,Girls TechBridge Engineering Career Prep/Science Enrichment,Science Education/Career Prep/Mentoring,11/01/2011,Linda Kekelis and Agnes Marcelo,,,,
3,Madison Middle School,"Science, Technology, Engineering & Mathematics (STEM)",,Rogers Family Foundation,"Blended learning with math, history, and science",Blended Learning,06/13/2013,Dr. Lucinda Taylor,,,,
3,Madison Middle School,Transitions & Pathways PreK-12,Extended Learning Time,Elev8 Initiative,Summer school for incoming 6th graders,Transition Programs,06/13/2013,Clo Escudero,,,,
3,Madison Middle School,Transitions & Pathways PreK-12,,MPA Business and Arts Academy,,,06/13/2013,Dr. Bianca Dallesandro,,,,
Transformation,Mandela High School,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
Transformation,Mandela High School,Extended Learning Time,Transitions & Pathways PreK-12,OUSD," Summer Prep Program, High School Credit Recovery, Summer Bridge (With Media and CPAA)",Summer Prep Program,11/11/2011,,,,,
Transformation,Mandela High School,Extended Learning Time,,YMCA of the East Bay,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
Transformation,Mandela High School,Health & Wellness,,Bechtel,Bechtel Wellness Champions,Coordinated School Health/Nutrition,11/11/2011,,,,,
Transformation,Mandela High School,Health & Wellness,,"Girls, Inc.",Mental Health Services,Mental Health Services,11/11/2011,,,,,
Transformation,Mandela High School,Health & Wellness,,La Clinica de la Raza,Mental Health Services,Mental Health Services,11/11/2011,,,,,
Transformation,Mandela High School,School Culture,,Libré,Youth development/gang intervention,Violence Prevention,11/11/2011,,,,,
Transformation,Mandela High School,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
2,Manzanita Community School Elementary,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
2,Manzanita Community School Elementary,Extended Learning Time,,East Bay Asian Youth Center (EBAYC),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
2,Manzanita Community School Elementary,Extended Learning Time,,East Bay Asian Youth Center (EBAYC),"Summer Prep Program, Summer Enrichment",Summer Prep Program,11/11/2011,,,,,
2,Manzanita Community School Elementary,Extended Learning Time,,OUSD, Summer Prep Program at Fruitvale,Summer Prep Program,11/01/2011,,,,,
2,Manzanita Community School Elementary,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/01/2011,,,,,
2,Manzanita Community School Elementary,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/01/2011,,,,,
2,Manzanita Community School Elementary,Health & Wellness,,OUSD,Nurse 0.8 FTE (Shared with Manzanita SEED),Health Services,11/01/2011,,,,,
2,Manzanita Community School Elementary,Health & Wellness,,OUSD,Wellness Champion,Coordinated School Health/Nutrition,11/01/2011,,,,,
2,Manzanita Community School Elementary,Health & Wellness,,Wright Institute,Mental Health Services,Mental Health Services,11/01/2011,,,,,
2,Manzanita Community School Elementary,School Culture,Health & Wellness,TransForm,Safe Routes To Schools,Violence Prevention/Physical Activity,11/01/2011,,,,,
2,Manzanita Community School Elementary,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
2,Manzanita Community School Elementary,Transitions & Pathways PreK-12,,Childhood Development Center,Early childhood education 7:30am - 5:30pm (shared with SEED),Early Childhood Education,11/11/2011,,,,,
2,Manzanita SEED Elementary,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
2,Manzanita SEED Elementary,Extended Learning Time,,East Bay Asian Youth Center (EBAYC),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
2,Manzanita SEED Elementary,Extended Learning Time,,East Bay Asian Youth Center (EBAYC),"Summer Prep Program, Summer Enrichment",Summer Prep Program,11/11/2011,,,,,
2,Manzanita SEED Elementary,Extended Learning Time,,Learning for Life,Tutoring and Academic Assistance,Academic Support,11/11/2011,,,,,
2,Manzanita SEED Elementary,Extended Learning Time,,Oakland Schools Foundation ,Extended Learning Collaborative Program,After School Intervention,11/01/2011,,,,,
2,Manzanita SEED Elementary,Family & Community Engagement,,Oakland Schools Foundation ,Family Engagement and Leadership Initiative (FamELI),Family Resource Center,11/11/2011,,,,,
2,Manzanita SEED Elementary,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/11/2011,,,,,
2,Manzanita SEED Elementary,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/11/2011,,,,,
2,Manzanita SEED Elementary,Health & Wellness,,OUSD,2 Wellness Champions,Coordinated School Health/Nutrition,11/11/2011,,,,,
2,Manzanita SEED Elementary,Health & Wellness,,OUSD,Nurse 0.8 FTE (Shared with Manzanita Community School),Health Services,11/11/2011,,,,,
2,Manzanita SEED Elementary,Health & Wellness,,Playworks Sports for Kids,Physical and Recreational Activity,Physical & Recreational Activity,11/11/2011,,,,,
2,Manzanita SEED Elementary,Health & Wellness,,Site Funded,Social Worker,Mental Health Services,11/11/2011,,,,,
2,Manzanita SEED Elementary,School Culture,Health & Wellness,TransForm,Safe Routes To Schools,Violence Prevention/Physical Activity,11/11/2011,,,,,
2,Manzanita SEED Elementary,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
2,Manzanita SEED Elementary,Transitions & Pathways PreK-12,,Childhood Development Center,Early childhood education 7:30am - 5:30pm (shared with Manzanita community school),Early Childhood Education,11/11/2011,,,,,
3,Markham Elementary,Balanced Literacy & Literacy Across the Curriculum,Extended Learning Time,"Faith Network of the East Bay, Inc.","Over the summer, provided two 45 minute reading clinic sessions on Tuesdays and Thursdays for students in 2nd grade",Summer Literacy,11/01/2011,,,,,
3,Markham Elementary,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,ALICE Arts and Literacy in Children's Education,After School Visual and Performing Arts,After School Arts Enrichment,11/01/2011,,,,,
3,Markham Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/01/2011,,,,,
3,Markham Elementary,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Cantare Con Vivo,After School Singing,After School Arts Enrichment,11/01/2011,,,,,
3,Markham Elementary,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/01/2011,,,,,
3,Markham Elementary,Extended Learning Time,,OUSD, Summer Prep Program,Summer Prep Program,11/01/2011,,,,,
3,Markham Elementary,Health & Wellness,,OUSD,Nurse 0.4 FTE,Health Services,11/11/2011,,,,,
3,Markham Elementary,Health & Wellness,,OUSD,Wellness Champion,Coordinated School Health/Nutrition,11/01/2011,,,,,
3,Markham Elementary,School Culture,,Developmental Studies Center,Caring School Community Program,Violence Prevention,11/11/2011,,,,,
3,Marshall Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
3,Marshall Elementary,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/01/2011,,,,,
3,Marshall Elementary,Extended Learning Time,,Higher Ground Neighborhood Development Corporation,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
3,Marshall Elementary,School Culture,,Developmental Studies Center,Caring School Community Program,Violence Prevention,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,"College, Career & Workforce",Accelerating Students through Targeted Approaches,AKA CAL graduate chapter,"book club with young women, financial workshop",Academic Support/Mentoring,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,Extended Learning Time,,AmeriCorps,"Recreational and Academic support for students, Buddy Teacher system to learn about group management and lesson planning",Academic Support,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),"After School Lead Agency OUSD - team sports, arts and crafts, computer classes, book club, drama, gardening, family engagement parent workshops, Saturday intervention",After School Program,11/01/2011,,,,,
1,Martin Luther King Jr. Elementary,Extended Learning Time,,Bechtel,Summer Partnership,Summer,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,Extended Learning Time,,CAL State East Bay ,Interns for After School,Academic Support,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,Extended Learning Time,,Chevron Corporation,Summer Partnership,Summer,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support ,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,Extended Learning Time,Accelerating Students through Targeted Approaches,Girls and Boys Moving Forward ,Supplemental Educational Services (SES) Academic Support,SES Tutoring,11/01/2011,,,,,
1,Martin Luther King Jr. Elementary,Extended Learning Time,,Intel,Summer Partnership,Summer Prep Program,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,Extended Learning Time,,OUSD," Summer Prep Program SEEK Program (Summer Engineering Experience for Kids), ESY classes",Summer Prep Program,11/01/2011,,,,,
1,Martin Luther King Jr. Elementary,Extended Learning Time,Accelerating Students through Targeted Approaches,Sylvan Learning Center,Supplemental Educational Services (SES) Academic Support,SES Tutoring,11/01/2011,,,,,
1,Martin Luther King Jr. Elementary,Extended Learning Time,Accelerating Students through Targeted Approaches,Tutor Works,Supplemental Educational Services (SES) Academic Support,SES Tutoring,11/01/2011,,,,,
1,Martin Luther King Jr. Elementary,Extended Learning Time,Health & Wellness,UC Berkeley Team Up for Youth,UC Berkeley Academic and sports support ,Academic Support,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,Extended Learning Time,,UC BUILD (Cal Corps Public Service Center - UC Berkeley),After School UC BUILD program tutoring,Tutoring,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,Family & Community Engagement,,Bay Area Community Resources (BACR),Family Engagement parent workshops ,Parent Workshops,11/01/2011,,,,,
1,Martin Luther King Jr. Elementary,Health & Wellness,,Alameda County Public Health Department,"Asthma, dental exams, vision, hearing",Health Services,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,Health & Wellness,,Kaiser Permanente,Nutrition program: healthy cooking,Nutrition,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,Health & Wellness,,OUSD,Mental Health Interns,Mental Health Services,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,Health & Wellness,,OUSD,School Psychologist,Mental Health Services,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,School Culture,,Bay Area Community Resources (BACR),Restorative Justice Leadership Program,Restorative Justice,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,School Culture,,Clorox ,youth development program - 40 minute class with students,Youth Development,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,School Culture,Extended Learning Time,Destiny Arts,After School Conflict Resolution and Dance Class,After School Mediation,11/01/2011,,,,,
1,Martin Luther King Jr. Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,"Science, Technology, Engineering & Mathematics (STEM)",Extended Learning Time,CalTrans,Summer Science Fridays,Summer Science,11/01/2011,,,,,
1,Martin Luther King Jr. Elementary,"Science, Technology, Engineering & Mathematics (STEM)",Extended Learning Time,Society of Black Engineers,Summer SEEK Program for grades 3-5 (Science and engineering program),Summer SEEK/Summer Science,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,Strategic Operational Practices,,KAPPA CAL graduate chapter,"donated books for student libraries, mentoring with males",Funding,11/11/2011,,,,,
1,Martin Luther King Jr. Elementary,Transitions & Pathways PreK-12,,Childhood Development Center,Early childhood education 8:30am - 3:00pm with pre school special ed,Early Childhood Education,11/11/2011,,,,,
2,Maxwell Park Elementary,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
